namespace,relation1,property,relation2,return_class
errors,has_property,UnsupportedFunctionCall,return_class,None
errors,has_property,ValueLabelTypeMismatch,return_class,None
plotting,has_property,plot_params,return_class,None
offsets,has_property,DateOffset,return_class,None
offsets,has_property,BusinessDay,return_class,None
offsets,has_property,BDay,return_class,None
offsets,has_property,BusinessHour,return_class,None
offsets,has_property,CustomBusinessDay,return_class,None
offsets,has_property,CDay,return_class,None
offsets,has_property,CustomBusinessHour,return_class,None
offsets,has_property,MonthEnd,return_class,None
offsets,has_property,MonthBegin,return_class,None
offsets,has_property,BusinessMonthEnd,return_class,None
offsets,has_property,BMonthEnd,return_class,None
offsets,has_property,BusinessMonthBegin,return_class,None
offsets,has_property,BMonthBegin,return_class,None
offsets,has_property,CustomBusinessMonthEnd,return_class,None
offsets,has_property,CBMonthEnd,return_class,None
offsets,has_property,CustomBusinessMonthBegin,return_class,None
offsets,has_property,CBMonthBegin,return_class,None
offsets,has_property,SemiMonthEnd,return_class,None
offsets,has_property,SemiMonthBegin,return_class,None
offsets,has_property,Week,return_class,None
offsets,has_property,WeekOfMonth,return_class,None
offsets,has_property,LastWeekOfMonth,return_class,None
offsets,has_property,BQuarterEnd,return_class,None
offsets,has_property,BQuarterBegin,return_class,None
offsets,has_property,QuarterEnd,return_class,None
offsets,has_property,QuarterBegin,return_class,None
offsets,has_property,BYearEnd,return_class,None
offsets,has_property,BYearBegin,return_class,None
offsets,has_property,YearEnd,return_class,None
offsets,has_property,YearBegin,return_class,None
offsets,has_property,FY5253,return_class,None
offsets,has_property,FY5253Quarter,return_class,None
offsets,has_property,Easter,return_class,None
offsets,has_property,Tick,return_class,None
offsets,has_property,Day,return_class,None
offsets,has_property,Hour,return_class,None
offsets,has_property,Minute,return_class,None
offsets,has_property,Second,return_class,None
offsets,has_property,Milli,return_class,None
offsets,has_property,Micro,return_class,None
offsets,has_property,Nano,return_class,None
Period,has_property,freq,return_class,None
Period,has_property,freqstr,return_class,None
Period,has_property,month,return_class,None
Period,has_property,ordinal,return_class,None
Period,has_property,quarter,return_class,None
Period,has_property,year,return_class,None
Period,has_property,is_leap_year,return_class,Bool
Period,has_property,day,return_class,Int
Period,has_property,dayofweek,return_class,Int
Period,has_property,day_of_week,return_class,Int
Period,has_property,dayofyear,return_class,Int
Period,has_property,day_of_year,return_class,Int
Period,has_property,days_in_month,return_class,Int
Period,has_property,daysinmonth,return_class,Int
Period,has_property,hour,return_class,Int
Period,has_property,minute,return_class,Int
Period,has_property,qyear,return_class,Int
Period,has_property,second,return_class,Int
Period,has_property,week,return_class,Int
Period,has_property,weekday,return_class,Int
Period,has_property,weekofyear,return_class,Int
Period,has_property,end_time,return_class,Timestamp
Period,has_property,start_time,return_class,Timestamp
PeriodIndex,has_property,day,return_class,None
PeriodIndex,has_property,dayofweek,return_class,None
PeriodIndex,has_property,day_of_week,return_class,None
PeriodIndex,has_property,dayofyear,return_class,None
